from_id,to_id,distance_km,time_min,vehicle_id,co2_emission_kg
D0,D1,8.556737691281134,17.113475382562267,V0,8.556737691281134
D0,C1,48.03761041300763,96.07522082601525,V0,48.03761041300763
D0,C2,58.95507833183889,117.91015666367778,V0,58.95507833183889
D0,C3,87.36598084596689,174.73196169193378,V0,87.36598084596689
D0,C4,74.74909778900619,149.49819557801237,V0,74.74909778900619
D0,C5,123.19977613323476,246.39955226646953,V0,123.19977613323476
D0,C6,99.68144026854625,199.3628805370925,V0,99.68144026854625
D0,C7,86.91168804216987,173.82337608433974,V0,86.91168804216987
D0,C8,69.94205968206003,139.88411936412007,V0,69.94205968206003
D0,C9,74.2952306650128,148.5904613300256,V0,74.2952306650128
D0,C10,84.4904135435333,168.9808270870666,V0,84.4904135435333
D0,C11,106.83385590814518,213.66771181629036,V0,106.83385590814518
D0,C12,72.2203883913279,144.4407767826558,V0,72.2203883913279
D0,C13,103.21867435826361,206.43734871652723,V0,103.21867435826361
D0,C14,105.13672089364121,210.27344178728242,V0,105.13672089364121
D0,C15,93.5764939715403,187.1529879430806,V0,93.5764939715403
D0,C16,44.295285332670275,88.59057066534055,V0,44.295285332670275
D0,C17,107.01494973952178,214.02989947904356,V0,107.01494973952178
D0,C18,45.660618409818056,91.32123681963611,V0,45.660618409818056
D0,C19,69.02239001569458,138.04478003138917,V0,69.02239001569458
D0,C20,59.374677721871116,118.74935544374223,V0,59.374677721871116
D0,C21,106.11064526985535,212.2212905397107,V0,106.11064526985535
D0,C22,16.664297363459053,33.328594726918105,V0,16.664297363459053
D0,C23,95.88690667826171,191.77381335652342,V0,95.88690667826171
D0,C24,23.45418146284785,46.9083629256957,V0,23.45418146284785
D0,C25,73.41716352693282,146.83432705386565,V0,73.41716352693282
D0,C26,101.30643500928393,202.61287001856786,V0,101.30643500928393
D0,C27,107.97805393893812,215.95610787787624,V0,107.97805393893812
D0,C28,110.40658769791214,220.8131753958243,V0,110.40658769791214
D0,C29,121.18789810863566,242.37579621727133,V0,121.18789810863566
D0,C30,68.57808015452821,137.15616030905642,V0,68.57808015452821
D0,C31,76.60566357723133,153.21132715446265,V0,76.60566357723133
D0,C32,91.51434510341616,183.02869020683232,V0,91.51434510341616
D0,C33,84.80046593445347,169.60093186890694,V0,84.80046593445347
D0,C34,97.9547674460621,195.9095348921242,V0,97.9547674460621
D0,C35,47.90536120594781,95.81072241189563,V0,47.90536120594781
D0,C36,119.90855783139439,239.81711566278878,V0,119.90855783139439
D0,C37,90.44464224485176,180.88928448970353,V0,90.44464224485176
D0,C38,46.922505256327,93.845010512654,V0,46.922505256327
D0,C39,129.7669051469771,259.5338102939542,V0,129.7669051469771
D0,C40,98.44396863720019,196.88793727440037,V0,98.44396863720019
D0,C41,80.25242432450685,160.5048486490137,V0,80.25242432450685
D0,C42,72.357622239957,144.715244479914,V0,72.357622239957
D0,C43,43.318991217822614,86.63798243564523,V0,43.318991217822614
D0,C44,108.71522512834089,217.43045025668178,V0,108.71522512834089
D0,C45,88.82012855953369,177.64025711906737,V0,88.82012855953369
D0,C46,69.54700409828126,139.09400819656253,V0,69.54700409828126
D0,C47,29.539533752783285,59.07906750556657,V0,29.539533752783285
D0,C48,95.17061210635354,190.3412242127071,V0,95.17061210635354
D0,C49,38.42625294697317,76.85250589394634,V0,38.42625294697317
D0,C50,54.05719572298495,108.1143914459699,V0,54.05719572298495
D0,C51,126.13981271911032,252.27962543822062,V0,126.13981271911032
D0,C52,103.74641189396424,207.49282378792847,V0,103.74641189396424
D0,C53,89.48296938573735,178.9659387714747,V0,89.48296938573735
D0,C54,83.68429388980671,167.36858777961342,V0,83.68429388980671
D0,C55,74.97789397634077,149.95578795268153,V0,74.97789397634077
D0,C56,80.47996654037432,160.95993308074864,V0,80.47996654037432
D0,C57,62.739251813181525,125.47850362636306,V0,62.739251813181525
D0,C58,48.2496717370628,96.4993434741256,V0,48.2496717370628
D0,C59,129.52901412429188,259.05802824858375,V0,129.52901412429188
D0,C60,84.61767445110334,169.23534890220668,V0,84.61767445110334
D0,C61,88.4577132076739,176.9154264153478,V0,88.4577132076739
D0,C62,99.45303671406396,198.9060734281279,V0,99.45303671406396
D0,C63,60.678405734751365,121.35681146950273,V0,60.678405734751365
D0,C64,126.63343817514438,253.26687635028875,V0,126.63343817514438
D0,C65,26.614965264910417,53.229930529820834,V0,26.614965264910417
D0,C66,70.1392491695063,140.2784983390126,V0,70.1392491695063
D0,C67,106.59083116276624,213.18166232553247,V0,106.59083116276624
D0,C68,56.065517535931576,112.13103507186315,V0,56.065517535931576
