from_id,to_id,distance_km,time_min
D0,D1,8.556737691281134,17.113475382562267
D0,C1,48.03761041300763,96.07522082601525
D0,C2,58.95507833183889,117.91015666367778
D0,C3,87.36598084596689,174.73196169193378
D0,C4,74.74909778900619,149.49819557801237
D0,C5,123.19977613323476,246.39955226646953
D0,C6,99.68144026854625,199.3628805370925
D0,C7,86.91168804216987,173.82337608433974
D0,C8,69.94205968206003,139.88411936412007
D0,C9,74.2952306650128,148.5904613300256
D0,C10,84.4904135435333,168.9808270870666
D0,C11,106.83385590814518,213.66771181629036
D0,C12,72.2203883913279,144.4407767826558
D0,C13,103.21867435826361,206.43734871652723
D0,C14,105.13672089364121,210.27344178728242
D0,C15,93.5764939715403,187.1529879430806
D0,C16,44.295285332670275,88.59057066534055
D0,C17,107.01494973952178,214.02989947904356
D0,C18,45.660618409818056,91.32123681963611
D0,C19,69.02239001569458,138.04478003138917
D0,C20,59.374677721871116,118.74935544374223
D0,C21,106.11064526985535,212.2212905397107
D0,C22,16.664297363459053,33.328594726918105
D0,C23,95.88690667826171,191.77381335652342
D0,C24,23.45418146284785,46.9083629256957
D0,C25,73.41716352693282,146.83432705386565
D0,C26,101.30643500928393,202.61287001856786
D0,C27,107.97805393893812,215.95610787787624
D0,C28,110.40658769791214,220.8131753958243
D0,C29,121.18789810863566,242.37579621727133
D0,C30,68.57808015452821,137.15616030905642
D0,C31,76.60566357723133,153.21132715446265
D0,C32,91.51434510341616,183.02869020683232
D0,C33,84.80046593445347,169.60093186890694
D0,C34,97.9547674460621,195.9095348921242
D0,C35,47.90536120594781,95.81072241189563
D0,C36,119.90855783139439,239.81711566278878
D0,C37,90.44464224485176,180.88928448970353
D0,C38,46.922505256327,93.845010512654
D0,C39,129.7669051469771,259.5338102939542
D0,C40,98.44396863720019,196.88793727440037
D0,C41,80.25242432450685,160.5048486490137
D0,C42,72.357622239957,144.715244479914
D0,C43,43.318991217822614,86.63798243564523
D0,C44,108.71522512834089,217.43045025668178
D0,C45,88.82012855953369,177.64025711906737
D0,C46,69.54700409828126,139.09400819656253
D0,C47,29.539533752783285,59.07906750556657
D0,C48,95.17061210635354,190.3412242127071
D0,C49,38.42625294697317,76.85250589394634
D0,C50,54.05719572298495,108.1143914459699
D0,C51,126.13981271911032,252.27962543822062
D0,C52,103.74641189396424,207.49282378792847
D0,C53,89.48296938573735,178.9659387714747
D0,C54,83.68429388980671,167.36858777961342
D0,C55,74.97789397634077,149.95578795268153
D0,C56,80.47996654037432,160.95993308074864
D0,C57,62.739251813181525,125.47850362636306
D0,C58,48.2496717370628,96.4993434741256
D0,C59,129.52901412429188,259.05802824858375
D0,C60,84.61767445110334,169.23534890220668
D0,C61,88.4577132076739,176.9154264153478
D0,C62,99.45303671406396,198.9060734281279
D0,C63,60.678405734751365,121.35681146950273
D0,C64,126.63343817514438,253.26687635028875
D0,C65,26.614965264910417,53.229930529820834
D0,C66,70.1392491695063,140.2784983390126
D0,C67,106.59083116276624,213.18166232553247
D0,C68,56.065517535931576,112.13103507186315
D0,C69,111.78780367307631,223.57560734615262
D0,C70,54.50962016566022,109.01924033132045
D0,C71,19.324677511652947,38.649355023305894
D0,C72,70.01224643900292,140.02449287800584
D0,C73,102.91024274771883,205.82048549543765
D0,C74,95.18029966249759,190.36059932499518
D0,C75,122.66703094252767,245.33406188505535
D0,C76,78.94995559099863,157.89991118199725
D0,C77,103.9889091992739,207.9778183985478
D0,C78,91.56700052521565,183.1340010504313
D0,C79,79.69195842214707,159.38391684429413
D0,C80,144.3391923733006,288.6783847466012
D0,C81,109.50330431833765,219.0066086366753
D0,C82,93.66359437173259,187.32718874346517
D0,C83,113.31160994462103,226.62321988924205
D0,C84,62.909156756588025,125.81831351317605
D0,C85,41.02126421887966,82.04252843775932
D0,C86,46.708889880155525,93.41777976031105
D0,C87,127.55221781622518,255.10443563245036
D0,C88,68.63791429139012,137.27582858278024
D0,C89,70.79471053151993,141.58942106303985
D0,C90,70.79080232299967,141.58160464599933
D0,C91,41.63799676921006,83.27599353842012
D0,C92,60.672972324274404,121.34594464854882
D0,C93,121.3650868449077,242.73017368981536
D0,C94,76.76617098555343,153.53234197110686
D0,C95,48.60843213723828,97.21686427447656
D0,C96,51.79728375165478,103.59456750330956
D0,C97,120.17588897859167,240.35177795718334
